Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID
People Data  Analyst,PepsiCo,"San Nicolás de los Garza, Nuevo León, Mexico",REMOTE,N/A,Full-time,Manufacturing and Food and Beverage Services,2026-07-04T14:05:37.354683,26,Information Technology,N/A,N/A,"Overview CAREERS TO SMILE ABOUT At PepsiCo, you’ll discover a place where our mission is to create smiles around the world. With a portfolio of more than 500 beloved brands including, Gatorade, Lay’s and Quaker, our work touches millions of people every day. At the heart of the company is a team of thinkers, creators, and problem-solvers who collaborate to innovate and turn ideas into action. Driven by innovation and a focus on creating joyful moments through food and drinks, our decisions are guided by consumer centricity, creating opportunities for our associates to do meaningful work and make a lasting impact in the communities we serve. Whatever your role, you’ll be part of a global community that values your ideas and empowers you to make an impact, on your career and on the world around you. The Opportunity Your Impact The People Data Analyst is primarily responsible for the maintenance of the People Data processes, streamlining delivery processes, enhancing reporting capabilities, and optimizing data resources. This role will collaborate with global teams to determine the most effective methods for data extraction and transformation, supporting the broader People Data, Reporting & Analytics. The role encompasses expertise in intermediate Python and reporting solutions. And being knowleadgeable about People processes, data warehousing, cloud databases, and data management principles. Responsibilities Accountable of the execution of the maintainance and oversee the data integrity tools, ensuring data accuracy, security, and availability for global People teams. Streamline and simplify data delivery processes, making data more accessible to end-users while maintaining data integrity. Optimize data resources by identifying opportunities for data consolidation, reducing redundancy, and improving data governance in People Data, Reporting & Analytics. Collaborate with global teams to determine the best practices for data extraction, transformation, and loading (ETL) processes, ensuring data readiness for analytics. Utilize intermediate to advanced Python and reporting solutions skills to create data pipelines and automate data processes. Apply knowledge of data warehousing principles to design and maintain data storage solutions for People data. Ensure a consistent and high level of customer service and operational excellence that will ensure transactions are resolved efficiently and in full compliance with relevant legal, company and process requirements. Manage escalation and takes ownership for ultimate tools issue resolution and support. Leverage data model, database, and data governance knowledge to create strong recommendations that effectively measure and hold internal and external teams. Recommend new ways of exploiting information to improve business processes and results. Qualifications Who Are We Looking For? Bachelor's degree in computer science, Engineering, or related field of study. Familiarity with data analysis, data integration, and data consolidation techniques. 1-3 years of experience in data management and data analysis. Proficiency in Python, SQL, and data warehousing. Knowledge of data management principles and best practices. Advanced knowledge in Excel, Power Point, Word. Ability to work efficiently and effectively in fast paced environment with tight deadlines. Language ability in: English (B2 required). If this is an opportunity that interests you, we encourage you to apply even if you do not meet 100% of the requirements. What can you expect from us: Opportunities to learn and develop every day through a wide range of programs. Internal digital platforms that promote self-learning. Development programs according to Leadership skills. Specialized training according to the role. Learning experiences with internal and external providers. We love to celebrate success, which is why we have recognition programs for seniority, behavior, leadership, moments of life, among others. Financial wellness programs that will help you reach your goals in all stages of life. A flexibility program that will allow you to balance your personal and work life, adapting your working day to your lifestyle. And because your family is also important to us, they can also enjoy benefits such as our Wellness Line, thousands of Agreements and Discounts, Scholarship programs for your children, Aid Plans for different moments of life, among others. We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We respect and value diversity as a work force and innovation for the organization.",https://mx.linkedin.com/jobs/view/people-data-analyst-at-pepsico-4433193892,4433193892
Growth Activation Analyst,red Blak,"Monterrey, Nuevo León, Mexico",REMOTE,Entry level,Full-time,Telecommunications,2026-07-04T14:05:37.354692,25,Marketing,Sales,N/A,"En redBLak tenemos un problema concreto: la gente contrata su línea pero una parte importante nunca llega a usarla. Tu trabajo es entender exactamente por qué — y proponer qué hay que cambiar para que eso deje de pasar. No ejecutas soporte ni desarrollas producto. Tu output es diagnóstico y recomendación: le dices al equipo dónde está la fricción, por qué está ahí, y qué debería hacer cada quien al respecto. Trabajas de la mano con CX y con Desarrollo, pero tu valor está en lo que encuentras en los datos, no en lo que ejecutas operativamente. Lo que vas a hacer: Analizar en qué paso del onboarding (Login, vinculación, configuración, portabilidad) se pierde la gente y por qué. Revisar datos de comportamiento, sesiones grabadas y tickets de soporte para detectar fricciones reales — no asumir, diagnosticar. Proponer ajustes a la experiencia del cliente con base en evidencia: qué cambiar en el flujo, qué comunicar diferente, dónde intervenir. Medir el impacto de cada cambio implementado: ¿funcionó? ¿cuánto mejoró la activación? Traducir hallazgos en recomendaciones claras para los equipos de CX y Desarrollo. Lo que buscamos: 1–3 años de experiencia en análisis de datos, growth, CRO, analítica de producto o roles similares en empresas digitales. Comodidad con datos: no necesitas ser experto en SQL, sí saber hacerte las preguntas correctas y encontrar las respuestas en los números. Comunicación escrita clara — tu trabajo es convencer con datos, no solo con intuición. Experiencia o disposición real para aprender herramientas de analítica (PostHog, Amplitude, GA4 o similares). Uso real y diario de IA — no experimental, no ""lo he probado."" Diario. Ganas de construir en un equipo pequeño donde lo que propones tiene impacto directo y medible.",https://mx.linkedin.com/jobs/view/growth-activation-analyst-at-red-blak-4435466583,4435466583
Power Business Intelligence Specialist,Azelis,"Monterrey, Nuevo León, Mexico",REMOTE,N/A,Full-time,Chemical Manufacturing,2026-07-04T14:05:37.354695,50,Business Development,Sales,N/A,"Summary This position will be responsible for designing, developing, and maintaining BI solutions on Power BI. The position will collaborate with both end users and technical colleagues to analyze business needs and implement BI solutions which efficiently and accurately render data through Power BI. Essential Functions Development of Power BI dashboards and paginated reports Development of Tabular data models in Power BI Responsible for (standardized) functional BI/Power BI maintenance activities Providing support for other BI areas in the responsibility of the support desk and dispatching requests and issues accordingly Management of IT issues in the ticketing system Escalation of reported issues to the correct and predefined contact persons. Essential Qualifications Required education/experience: The candidate must possess at least a Bachelor's Degree. Preference is given to a science-oriented degree (e.g. Computer Science) Minimum of 5 full year's Microsoft Power BI experience Experience with Microsoft SQL Server and the Microsoft BI suite Experience with Microsoft Azure (Data Factory, Cosmos database, storage accounts, …) Required Skills/competencies Excellent communication and interpersonal skills. Demonstrated ability to communicate and present complex information to technical and business partners, both verbally and in written form. Able to work independently, setting priorities and efficiently meeting explicit and implicit deadlines Good problem analysis and problem-solving skills Detail-oriented and thorough team player with strong work ethic Well-developed interpersonal and communication skills Customer service orientation, self-motivated Result-oriented Ability to interact effectively with all levels of staff and management Dependable and flexible; adaptable to fast-changing circumstances",https://mx.linkedin.com/jobs/view/power-business-intelligence-specialist-at-azelis-4428100847,4428100847
Coordinador Arquitectura de Datos Digital,Arca Continental,"Monterrey, Nuevo León, Mexico",REMOTE,Associate,Full-time,Digital Accessibility Services and Data Infrastructure and Analytics,2026-07-04T14:05:37.354698,25,Information Technology,Project Management,N/A,"Nuestra compañía Arca Continental es una empresa dedicada a la producción, distribución y venta de bebidas de las marcas propiedad de The Coca-Cola Company, así como de botanas saladas bajo las marcas Bokados en México, Inalecsa en Ecuador, así como Wise en los Estados Unidos. Con una destacada trayectoria de más de 100 años, Arca Continental fue el primer embotellador de Coca-Cola en México y es uno de los más importantes del mundo. En su franquicia de Coca-Cola, la empresa atiende a una población de más de 130 millones en la región norte y occidente de México, así como en Ecuador, Perú, en la región norte de Argentina y en la región suroeste de Estados Unidos. Arca Continental cotiza en la Bolsa Mexicana de Valores bajo el símbolo ""AC"". Para más información sobre la compañía, visita nuestra página web www.arcacontal.com Misión del puesto Asegurar que los datos del negocio estén disponibles, integrados y confiables mediante el diseño, construcción y operación de plataformas y procesos de datos, contribuyendo a la eficiencia operativa, el crecimiento comercial y la toma de decisiones basada en información. Responsabilidades clave Desarrollar y mantener procesos de ingesta, transformación, validación y publicación de datos en plataformas cloud, bases de datos relacionales, data lake y soluciones analíticas. Construir datasets, tablas de consumo y modelos de lectura que soporten aplicaciones digitales, reportes operativos, indicadores comerciales y procesos críticos de negocio. Monitorear pipelines productivos, atender incidencias, optimizar performance, reducir reprocesos y asegurar continuidad operativa en ambientes DEV, QA, STG y PRD. Integrar fuentes SAP y no SAP, aplicar reglas de negocio, conciliaciones, controles de calidad y consistencia de datos entre capas de ingesta, transformación y consumo. Documentar procesos, dependencias, linaje, controles y criterios de aceptación, colaborando con Arquitectura, Desarrollo, QA, Producto, Seguridad y equipos regionales. Cualificaciones y requerimientos Ingeniería en Sistemas, Tecnologías de Información, Ciencia de Datos o carrera afín. Experiencia mínima de 3 años en ingeniería de datos, Azure, Azure DataFactory, SQL avanzado, ETL/ELT, modelado de datos, orquestación, depuración y soporte productivo. Conocimiento práctico en Azure Data Factory, Azure SQL Database, Data Lake, Snowflake, Git/CI-CD, monitoreo, control de versiones y buenas prácticas DataOps. Experiencia trabajando con ambientes productivos, validación de datos, análisis de incidencias, optimización de consultas, manejo de dependencias y entrega bajo prioridades de negocio. Alta capacidad analítica, orientación a calidad, comunicación con equipos técnicos y funcionales, sentido de urgencia, orden en la documentación y enfoque a resultados. Características deseables Experiencia en consumo masivo, retail, e-commerce, plataformas digitales, integración regional, arquitecturas medallón, microservicios, modelos de lectura o analítica comercial. Inglés técnico y experiencia colaborando con equipos multidisciplinarios o regionales. Nuestro compromiso Arca Continental es una empresa que ofrece igualdad de oportunidades. Las decisiones de contratación se toman sin distinción de raza o etnia, color, religión, nacionalidad, sexo, orientación sexual, identidad de género, edad, discapacidad, estatus de veterano protegido o alguna otra característica protegida por la ley. Nunca solicitaremos ningún tipo de pago para procesar su solicitud de empleo ni en ninguna otra etapa del proceso de selección. Nunca le envíe dinero a nadie que sugiera que puede darle empleo en Arca Continental. Si sospecha que ha recibido una oferta fraudulenta, repórtelo con las autoridades correspondientes.",https://mx.linkedin.com/jobs/view/coordinador-arquitectura-de-datos-digital-at-arca-continental-4435499060,4435499060
QA Quality Assurance Intern,red Blak,"Monterrey, Nuevo León, Mexico",HYBRID,Internship,Internship,Telecommunications,2026-07-04T14:05:38.731560,25,Quality Assurance,N/A,N/A,"🚀 BUSCAMOS QA INTERN No buscamos a alguien que solo ""pruebe botones"". Buscamos a quien disfrute encontrar errores antes que nuestros clientes y quiera asegurar que cada release salga con la mejor calidad posible. ¿QUÉ HARÁS? ✔️ Ejecutar pruebas en nuestra app y plataforma web antes y después de cada release. ✔️ Detectar, documentar y dar seguimiento a bugs en Jira. ✔️ Validar nuevas funcionalidades antes de que lleguen a producción. ✔️ Trabajar de la mano con el CTO para priorizar incidencias críticas. ✔️ Asegurar que los bugs realmente queden resueltos (sin regresiones). ✔️ Ayudar a construir una biblioteca de casos de prueba para hacer cada release más eficiente. ¿QUÉ BUSCAMOS? • Estudiante de Ingeniería en Sistemas, Software o afín. • Atención al detalle (de verdad). • Pensamiento lógico y mucha curiosidad. • Ganas de aprender rápido. • Buena comunicación. • Que disfrutes romper cosas... para que nuestros usuarios no lo hagan. 😉 NOS ENCANTARÁ SI... ⭐ Has usado Jira (o herramientas similares). ⭐ Has probado apps o páginas web de forma estructurada. ⭐ Te gusta investigar por qué ocurrió un error y no solo reportarlo. ⭐ Te interesa crecer hacia QA Automation o Desarrollo. LO QUE TE VAS A LLEVAR 🚀 Experiencia real en una startup tecnológica. 📱 Participar en releases que usan clientes reales. 🤝 Trabajo cercano con CTO. 📈 Prácticas remuneradas. IMPORTANTE Aquí no vienes a observar,  Vas a participar en releases reales, tomar responsabilidad y ayudar a que nuestro producto salga con la mejor calidad posible.",https://mx.linkedin.com/jobs/view/qa-quality-assurance-intern-at-red-blak-4435484605,4435484605
SR Windchill Engineer,Rockwell Automation,"Monterrey, Nuevo León, Mexico",HYBRID,N/A,Full-time,Automation Machinery Manufacturing,N/A,25,Engineering,Information Technology,N/A,"Rockwell Automation is a global technology leader focused on helping the world’s manufacturers be more productive, sustainable, and agile. With more than 28,000 employees who make the world better every day, we know we have something special. Behind our customers - amazing companies that help feed the world, provide life-saving medicine on a global scale, and focus on clean water and green mobility - our people are energized problem solvers that take pride in how the work we do changes the world for the better. We welcome all makers, forward thinkers, and problem solvers who are looking for a place to do their best work. And if that’s you we would love to have you join us! Job Description Position Summary Rockwell Automation is in the process of implementing the Windchill solution as a new corporate-wide PLM platform. If you're interested in joining a newly formed and growing team, please apply for this role. This position is part of the global IT Product Lifecycle Management team. As a SR Windchill Engineer at Rockwell Automation, you will be responsible for leading the functional design, configuration, and delivery of Windchill capabilities across the enterprise. You’ll collaborate with business stakeholders, technical teams, and external partners to ensure the platform meets evolving business needs and drives operational excellence. Your Responsibilities Lead functional design and configuration of Windchill modules including Part, BOM, Document, CAD, and Change Management. Translate business requirements into scalable Windchill solutions and functional specifications. Contribute to the Windchill functional roadmap and ensure alignment with enterprise PLM strategy. Collaborate with product owners as well developers, and architects to deliver end-to-end solutions. Conduct workshops and working sessions with business teams to gather requirements and validate solutions. Provide guidance and mentorship to other functional analysts and support team Manage individual enhancement requests, defects, and backlog items using Agile tools like Jira, Azure DevOps etc. Participate in SAFe ceremonies (daily synchs, sprint planning, backlog grooming). Ensure documentation of functional designs, configurations, and process flows. The Essentials - You Will Have Bachelor’s or Associate degree in Engineering, Computer Science, or a related field (completed or nearing completion). 7+ years of experience in Windchill functional roles, including configuration and business analysis. Deep understanding of PLM/Windchill capabilities and configuration elements (ACLs, OIRs, lifecycles, workflows, types, attributes). Proven experience in translating business needs into Windchill solutions. Strong communication and stakeholder management skills. Familiarity with Agile/Scrum methodologies and enterprise DevOps practices. Fluent in English (C1). The Preferred - You Might Also Have Experience working in a global multi-language environment with distributed teams. Exposure to ticketing tools like ServiceNow. Experience with Windchill upgrades and integrations with ERP or CAD systems. Modality: Hybrid You will report to: Technical Leader What We Offer Our benefits package includes … Comprehensive mindfulness programs with a premium membership to Calm. Volunteer Paid Time off available after 6 months of employment for eligible employees. Company volunteer and donation matching program – Your volunteer hours or personal cash donations to an eligible charity can be matched with a charitable donation. Employee Assistance Program. Personalized wellbeing programs through our OnTrack program On-demand digital course library for professional development... and other local benefits! Rockwell Automation's hybrid policy aligns that employees are expected to work at a Rockwell location at least Mondays, Tuesdays, and Thursdays unless they have a business obligation out of the office. We believe that employee diversity is an important element of our common future. We provide opportunities for talent growth with the entire organization. We support equality by celebrating the individuality of every person, regardless of their origin and identity. We appreciate the unique cultural pattern and variety of experiences in each of us. We invite all who want to join and change the world of Our organization. Rockwell Automation’s hybrid policy aligns that employees are expected to work at a Rockwell location at least Mondays, Tuesdays, and Thursdays unless they have a business obligation out of the office.",https://mx.linkedin.com/jobs/view/sr-windchill-engineer-at-rockwell-automation-4418437563,4418437563
