Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID
Ingeniero de Software QA II – Remoto Mty con 1 visita al mes,Corus Consulting an Alten Company,"Monterrey, Nuevo León, Mexico",REMOTE,Mid-Senior level,Full-time,IT Services and IT Consulting,2026-04-23T12:49:23.655458,25,Information Technology,N/A,N/A,"Corus Consulting somos una consultora con más de 20 años de experiencia con diferentes clientes a nivel mundial; tenemos presencia en México, Estados Unidos, Europa y Asia. Nos encontramos en búsqueda de tu talento para laborar como: Ingeniero de Software QA II – Remoto Mty con 1 visita al mes Responsabilidades: Automatización de pruebas Diseñar y desarrollar pruebas automatizadas para UI y APIs. Implementar frameworks de automatización (Selenium, Cypress, Playwright, REST-assured). Mantener suites de pruebas automatizadas confiables, escalables y reutilizables. Asegurar cobertura de pruebas adecuada en funcionalidades críticas. Gestión de calidad Validar casos de prueba automatizables. Ejecutar pruebas automatizadas en distintos entornos. Integración con desarrollo (Quality Engineering) Colaborar con desarrolladores para integrar calidad desde etapas tempranas. Integrar pruebas automatizadas en pipelines de CI/CD. Promover prácticas de testing como TDD, BDD o ATDD. Asegurar calidad continua dentro del ciclo de desarrollo. Mejora continua Monitorear métricas de calidad (coverage, defect leakage, estabilidad). Identificar oportunidades de mejora en procesos de testing. Proponer nuevas herramientas o frameworks de automatización. Contribuir a la evolución de prácticas de QA dentro del equipo. Colaboración Trabajar con equipos de desarrollo, producto y DevOps. Participar en ceremonias ágiles (Scrum/Kanban). Documentar casos de prueba, procesos y resultados. Alinear criterios de calidad con stakeholders técnicos y de negocio . Ofrecemos: Esquema 100% nominal Prestaciones de ley Pago de Utilidades. Cursos y/o certificaciones. Apoyo internet $220.00 brutos Seguro de Gastos Médicos Mayores Seguro Dental Seguro de Gatos Médicos Menores - Asistencia médica, nutricional y emocional 24/7, vía telefónica o por videollamada. - Un traslado gratuito en ambulancia por año en urgencia real. - Consulta con médico general o especialistas con precio fijo. - Check up gratis (Química sanguínea 6 elementos + Biometría hemática + examen general de orina) - Servicios odontológicos y oftalmológicos con descuento. - Club de descuentos comerciales (Restaurantes, viajes, gimnasios, mascotas y más) - Cupones en Cinépolis. - Servicio funerario individual. - Seguro por muerte accidental y Gastos funerarios por accidente. Beneficios Nómina Santander: Asistencia Funeraria que incluye atención personalizas las 24 horas. Cobertura por COVID 19 y neumonía atípica (Traslado de la persona finada en forreo aséptico hacia las instalaciones del corresponsal funerario de Funeral Net. Trámites para obtener el permiso de cremación. Cremación y Urna básica) Otros servicios por nómina Santander son créditos personales o línea express, Asistencia legal, dental, psicológica, médica y hogar. 10% de descuento en Despegar, 10% de descuento en Mercado Libre, Descuentos en Wow+, 2 x 1 en Cinépolis todos los días.",https://mx.linkedin.com/jobs/view/ingeniero-de-software-qa-ii-%E2%80%93-remoto-mty-con-1-visita-al-mes-at-corus-consulting-an-alten-company-4404473584,4404473584
Analista de Datos Junior,ALTEN Mexico,Monterrey Metropolitan Area,HYBRID,Entry level,Full-time,Engineering Services,2026-04-23T12:49:26.643257,43,Engineering,N/A,N/A,"ALTEN México busca un Data & Logistics Intelligence Analyst con enfoque en análisis avanzado de datos, integración de plataformas y automatización para integrarse a proyectos industriales de alto impacto. Este rol está orientado a la validación de datos, desarrollo de dashboards y gestión de grandes volúmenes de información provenientes de múltiples sistemas como SAP, Power BI y Data Lakes. El perfil ideal combina habilidades técnicas en data science con una visión operativa que permita asegurar la calidad y disponibilidad de datos en entornos logísticos. Actividades principales • Desarrollar dashboards en Power BI enfocados en la validación de datos dentro de workflows y sistemas ECM utilizados en operaciones logísticas (loaders). • Integrar datos provenientes de múltiples plataformas (SAP, Power BI, Data Lakes, entre otros) para asegurar consistencia y trazabilidad. • Diseñar y mantener procesos automatizados utilizando Power Automate para la gestión y validación de información. • Analizar grandes volúmenes de datos (Big Data) para identificar inconsistencias, tendencias y oportunidades de mejora. • Colaborar con equipos multidisciplinarios para asegurar la correcta implementación de soluciones de datos. • Apoyar en la estructuración, limpieza y transformación de datos mediante herramientas como Python y Excel avanzado. • Coordinar la disponibilidad y calidad de datos para su uso en reportes y toma de decisiones. • Documentar flujos de datos, integraciones y procesos de validación. Requirements • Ingeniería en Sistemas, Industrial, Logística o Ciencia de datos. • Experiencia de 0 a 2 años en análisis de datos, integración de sistemas o roles similares. • Conocimiento avanzado de Power BI (deseable desarrollo de dashboards complejos). • Manejo de Excel avanzado. • Experiencia o conocimiento en Big Data y Data Lakes. • Conocimiento intermedio de Python. • Experiencia en Power Automate o herramientas de automatización. • Habilidades de comunicación efectiva y trabajo en equipo. • Inglés técnico avanzado. Benefits Sueldo base • Seguro de Gastos Médicos Mayores (incluye plan dental y visión) • 15 días de aguinaldo • 25% de prima vacacional • 12 días de vacaciones (A partir del primer año) • Seguro social • Vales de despensa quincenales",https://mx.linkedin.com/jobs/view/analista-de-datos-junior-at-alten-mexico-4404488407,4404488407
Ingeniero de Desarrollo Nomina (SuccessFactors),Azkait,"Monterrey, Nuevo León, Mexico",HYBRID,N/A,Full-time,"Technology, Information and Internet",2026-04-23T12:49:26.643264,25,Engineering,Information Technology,N/A,"AZKAIT es una empresa Mexicana que busca y conecta el mejor talento IT con empresas Latinoamericanas y de Estados Unidos. Estamos en la búsqueda de tu talento como Ingeniero de Desarrollo Nomina (SuccessFactors) Requisitos: Ingeniería/Licenciatura en Sistemas, o carrera afín Inglés conversacional fluido (avanzado o intermedio alto) Mínimo 1 año de experiencia trabajando con SuccessFactors módulos: SAP/Nómina, Employee Central, Performance y Recruitment Base sólida en programación, desarrollo, configuración Garantizar la correcta habilitación y optimización de los procesos de nómina utilizando la plataforma SuccessFactors, proporcionando soporte y capacitación a los usuarios, y colaborando estrechamente con el equipo de TI y otros equipos técnicos para mantener la mejora continua y la seguridad de la información. Beneficios : Contratación 100% nómina 30 días de aguinaldo 12 días de vacaciones primer año, con prima vacacional 36% Fondo de Ahorro 8.33% con tope legal Vales despensa Ayuda de Gastos escolares Seguro de Vida Seguro de Gastos Médicos Mayores (en línea directa) Días libres con goce de sueldo Caja de Ahorro Cajón de estacionamiento en el lugar de trabajo Plan de pensiones, de acuerdo con la política de GIS - (Opcional) Venta de productos de empresas filiales Plataforma de aprendizaje para tu desarrollo continuo Seguro Mutualista - Opcional Contratación de seguro de automóvil personal a precio de flotilla - Opcional Lugar y esquema de trabajo : Monterrey o Saltillo (cualquier sede) Híbrido: 2 días en casa, 3 en oficinas",https://mx.linkedin.com/jobs/view/ingeniero-de-desarrollo-nomina-successfactors-at-azkait-4404483724,4404483724
Desarrollador Power BI (PROYECTO 5 MESES),AXEN IT Consulting,"Monterrey, Nuevo León, Mexico",HYBRID,N/A,Full-time,"Technology, Information and Internet",2026-04-23T12:49:26.643267,25,Information Technology,N/A,N/A,"En AXEN IT Consulting estamos creciendo exponencialmente con clientes con grandes proyecciones de crecimiento, Contamos con más de 25 años de experiencia en el mercado de servicios de tecnologías de la información, Enfocados en nuestro crecimiento y al mismo tiempo ofreciendo planes de mejora a nuestro talento, Actualmente estamos buscando Desarrollador Power BI con el siguiente perfil: Diseño y Desarrollo de Dashboards y Reportes Diseñar, construir y publicar dashboards interactivos y reportes en Power BI alineados a los requerimientos de negocio. Definir modelos de datos eficientes utilizando DAX y Power Query (M) para transformación y cálculo de métricas. Aplicar mejores prácticas de visualización de datos para garantizar claridad, usabilidad y adopción por parte de los usuarios. Modelado de Datos e Integración de Fuentes Conectar e integrar múltiples fuentes de datos (SQL Server, Data Lake, Dataverse, APIs, archivos planos) en modelos semánticos de Power BI. Diseñar esquemas estrella y copo de nieve optimizados para rendimiento analítico. Colaborar con el equipo de datos para asegurar la calidad, consistencia y disponibilidad de la información consumida en los reportes. Optimización, Mantenimiento y Gobierno de Reportes Monitorear el rendimiento de los reportes y datasets, implementando mejoras en tiempos de carga y eficiencia de consultas. Administrar workspaces, permisos y programación de actualizaciones en el servicio de Power BI. Mantener un inventario documentado de reportes, fuentes de datos y reglas de negocio aplicadas. Soporte y Colaboración con Áreas de Negocio Atender requerimientos de las áreas de negocio para la creación o ajuste de reportes y análisis ad hoc. Facilitar sesiones de levantamiento de requerimientos para traducir necesidades de información en soluciones visuales efectivas. Capacitar a usuarios finales en el uso de dashboards y promover la cultura de toma de decisiones basada en datos. Experiencia: Inglés Intermedio Beneficios: Crecimiento laboral. SGM menores, Seguro de Vida, 12 días de vacaciones, 15 días de aguinaldo, entre otras. ¡Sé parte de nuestro equipo!",https://mx.linkedin.com/jobs/view/desarrollador-power-bi-proyecto-5-meses-at-axen-it-consulting-4404476834,4404476834
Power BI Platform Specialist,Siemens,"Monterrey, Nuevo León, Mexico",HYBRID,Mid-Senior level,Full-time,Automation Machinery Manufacturing,2026-04-23T12:49:26.643271,193,Information Technology,N/A,N/A,"We are looking for a Power BI Platform Specialist to join our global analytics team and support the development, maintenance, and continuous improvement of our reporting and business intelligence platform. This role will work closely with global stakeholders and international clients , supporting business decision-making through high-quality, reliable, and insightful Power BI solutions. This position requires a professional with at least 2 years of hands-on experience working with Power BI , strong analytical skills, and the ability to communicate effectively in advanced business English . Key Responsibilities: Develop, maintain, and optimize Power BI dashboards, reports, and datasets for global business teams Support the Power BI platform operation, including refresh schedules, access management, and governance standards Collaborate with global stakeholders and clients to understand business needs and translate them into reporting solutions Assist in data cleansing, preparation, and validation processes to ensure data quality Support simple ETL processes and data integration activities Ensure consistency, accuracy, and documentation of reports and datasets Contribute to continuous improvement of reporting standards, templates, and best practices] Required Qualifications: Bachelor’s degree in information systems, Computer Science, Business Analytics, Statistics, or related fields Minimum 2 years of experience working with Power BI in a corporate or global environment Experience supporting BI platforms, dashboards, and reporting for business users Strong Power BI knowledge (dashboards, datasets, data modeling, DAX basics) Advanced Excel SQL (beginner to intermediate) Understanding of data sources and data structures Basic knowledge of ETL processes and data preparation Advanced English (business conversations required) Certifications (preferred): Microsoft Power BI certification or other BI-related certifications Professional Competencies Strong analytical and problem-solving skills High attention to detail and data accuracy Clear and professional communication with global stakeholders Ability to work effectively in a global, multicultural environment Proactive mindset and continuous improvement orientation Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.",https://mx.linkedin.com/jobs/view/power-bi-platform-specialist-at-siemens-4374088744,4374088744
Power BI Platform Specialist,Siemens,"Santa Catarina, Nuevo León, Mexico",HYBRID,Mid-Senior level,Full-time,Automation Machinery Manufacturing,2026-04-23T12:49:26.643273,190,Information Technology,N/A,N/A,"We are looking for a Power BI Platform Specialist to join our global analytics team and support the development, maintenance, and continuous improvement of our reporting and business intelligence platform. This role will work closely with global stakeholders and international clients , supporting business decision-making through high-quality, reliable, and insightful Power BI solutions. This position requires a professional with at least 2 years of hands-on experience working with Power BI , strong analytical skills, and the ability to communicate effectively in advanced business English . Key Responsibilities: Develop, maintain, and optimize Power BI dashboards, reports, and datasets for global business teams Support the Power BI platform operation, including refresh schedules, access management, and governance standards Collaborate with global stakeholders and clients to understand business needs and translate them into reporting solutions Assist in data cleansing, preparation, and validation processes to ensure data quality Support simple ETL processes and data integration activities Ensure consistency, accuracy, and documentation of reports and datasets Contribute to continuous improvement of reporting standards, templates, and best practices] Required Qualifications: Bachelor’s degree in information systems, Computer Science, Business Analytics, Statistics, or related fields Minimum 2 years of experience working with Power BI in a corporate or global environment Experience supporting BI platforms, dashboards, and reporting for business users Strong Power BI knowledge (dashboards, datasets, data modeling, DAX basics) Advanced Excel SQL (beginner to intermediate) Understanding of data sources and data structures Basic knowledge of ETL processes and data preparation Advanced English (business conversations required) Certifications (preferred): Microsoft Power BI certification or other BI-related certifications Professional Competencies Strong analytical and problem-solving skills High attention to detail and data accuracy Clear and professional communication with global stakeholders Ability to work effectively in a global, multicultural environment Proactive mindset and continuous improvement orientation Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.",https://mx.linkedin.com/jobs/view/power-bi-platform-specialist-at-siemens-4374097094,4374097094
Senior Data Engineer,DiDi,"Monterrey, Nuevo León, Mexico",HYBRID,N/A,Full-time,Software Development,2026-04-23T12:49:26.643276,25,Information Technology,N/A,N/A,"About The Company DiDi Global Inc. is the world’s leading mobility technology platform. It offers a wide range of app-based services across markets including Asia-Pacific, Latin America and Africa, including ride hailing, taxi hailing, chauffeur, hitch and other forms of shared mobility as well as auto solutions, food delivery, intra-city freight, and financial services. DiDi provides car owners, drivers, and delivery partners with flexible work and income opportunities. It is committed to collaborating with policymakers, the taxi industry, the automobile industry and the communities to solve the world’s transportation, environmental and employment challenges through the use of AI technology and localized smart transportation innovations. DiDi strives to create better life experiences and greater social value, by building a safe, inclusive and sustainable transportation and local services ecosystem for cities of the future. For more information, please visit: www.didiglobal.com/news About The Team/role As a Senior Data Analyst at DiDi, you will operate as a problem solver within large-scale data ecosystems. You will be responsible for understanding upstream data pipelines, ensuring the reliability and performance of critical data systems , along with deep-diving into data issues. You will be the bridge between Business Intelligence, Data Engineering, and global teams , taking full ownership of ambiguous problems: from detection to root cause analysis and resolution. This role is ideal for someone who thrives in complexity, is highly curious, and can independently navigate systems, teams, and data to drive impactful solutions across the organization. This is a high-impact role for someone who is curious, persistent, and highly technical , with the ability to go deep, move fast, and solve problems that others can't. In this role, you'll be... End-to-End Problem Solving – Own complex data issues from start to finish: identify anomalies, investigate deeply across layers (BI, ETL, infrastructure), determine root cause, and deliver scalable solutions with minimal supervision. Deep Dive & Root Cause Analysis – Perform structured, hypothesis-driven deep dives into data discrepancies, performance issues, and system bottlenecks. You will be going beyond surface-level analysis into pipelines, transformations, and compute layers. Data Infrastructure & Performance Monitoring – Monitor and analyze data platform performance (query latency, queues, compute utilization such as vCores). Identify inefficiencies and propose optimizations or scaling strategies. Cross-Functional & Global Collaboration – Work closely with Data Engineering, Product, and global teams (across regions and time zones) to debug issues, align on data definitions, and ensure system reliability. Process Optimization & Automation – Continuously improve data workflows by optimizing queries, refining data models, and automating repetitive validation or monitoring tasks. Documentation & Knowledge Sharing – Create clear, structured documentation of data models, issues, root causes, and solutions to enable scalability and knowledge transfer across teams. Stakeholder Communication –Translate complex technical findings into clear, actionable insights. Set expectations, explain trade-offs (speed vs accuracy), and influence decision-making. We're eager to be in touch because you have... Fluent in English (mandatory) and Spanish. Ability to communicate clearly with global teams and document findings in a structured, professional manner. Education: Bachelor’s degree in Engineering, Computer Science, Mathematics, Statistics, or a related field. Experience: 4+ years in Business Intelligence, Data Analytics, or Data Enablement roles, with strong exposure to data troubleshooting and deep dives. Problem Solving & Ownership: Proven ability to independently solve ambiguous, complex data problems end-to-end with minimal guidance. Technical Skills: Advanced SQL (query optimization, debugging complex transformations) Strong understanding of data pipelines (ETL/ELT) and data modeling Experience working with large-scale data warehouses (Hive, Spark, BigQuery, Snowflake) Familiarity with data performance concepts (query optimization, partitioning, compute resources, concurrency) Python or R for data validation, automation, or deeper analysis. Data Infrastructure Awareness: Ability to understand and troubleshoot issues related to compute resources, data queues, and system performance. Analytical Mindset: Strong ability to break down complex systems, identify root causes, and connect technical issues to business impact. Stakeholder Management: Experience working with cross-functional and international teams, aligning on priorities and driving resolution. Adaptability: Comfortable operating in a fast-paced, high-pressure environment with evolving priorities and incomplete information. Nice to have Experience collaborating closely with data engineering teams or contributing to pipeline design and debugging. Familiarity with monitoring tools, logging systems, or performance tracking frameworks. Experience with data management or governance tools (Collibra, Alation, Atlan). You'll love working at DiDi because... We create user value We strive to always create valuable experiences for our users in everything we do. Our focus is to always innovate new experiences that are safe, pleasant and efficient. We are data-driven We are strong believers in making informed decisions, that’s why we are data-driven. We can better navigate the business landscape strategically by analyzing valuable metrics. Win-win Collaboration Success is a team sport. When we work to help our partners and colleagues win, we win, too. While keeping everyone's best interest at heart, we communicate with candor and execute with excellence in all we do. We believe in integrity Integrity is at the very core of our business. We are people who always want to do the right thing. Our intentions are sincere, we speak our minds and listen to each other. Growth We always strive to do better. That means venturing beyond our comfort zones, learning from our mistakes, and helping each other grow. Diversity and Inclusion Diversity is one of our biggest strengths. Our differences are what make us distinct. We respect each other and believe in equal opportunities for all. We are committed to building inclusive and diverse teams At DiDi, we believe that our differences are our biggest source of strength. That’s why we are committed to promoting equal opportunities to all candidates and employees as an Equal Opportunity Employer. Employment and advancement decisions at DiDi are always made based on the needs of the position and the qualifications of the candidate. We do not discriminate against any employee or applicant based on their gender, age, sexual orientation, nationality, marital status, pregnancy/maternity, disability, race, religion and beliefs, or any other status protected by applicable laws wherever we operate. We are committed to building inclusive and diverse teams, and a workplace that is free from discrimination and harassment, because that’s how we create better products and services, make better decisions and better serve the communities we’re a part of.",https://mx.linkedin.com/jobs/view/senior-data-engineer-at-didi-4405414052,4405414052
Data Scientist,HEINEKEN MÉXICO,"Monterrey, Nuevo León, Mexico",ON-SITE,Entry level,Full-time,Food and Beverage Services,2026-04-22T12:49:37.097040,66,Engineering,Information Technology,N/A,"HEINEKEN MÉXICO represents the brewing group with the longest tradition in Mexico since its founding in 1890, with a team in Mexico of more than 18,000 employees. Our company values include bringing fun to the lives of our consumers and collaborators by promoting our products responsibly and fostering an environment where people can fully unlock their full potential and enjoy their work. We have a passion for quality in everything we do, we invest in our people, new technologies and continuous improvement processes in our organization. Furthermore, we respect the individual, society and the environment, committing ourselves to the communities where we operate, respecting the Universal Declaration of Human Rights, and following the laws of the countries in which we are operate. At HEINEKEN, we brew great beers and we build great brands. We are committed to surprising and exciting our consumers and employees everywhere. We have a proud history and heritage in brewing and in our communities. With operations in over 70 markets globally, we are the world's most international brewer. We Go Places! How about you? Location: Monterrey Function: Information Services Sub Function: Digital & Technology - Master Data Management Type of Contract: Permanent Main Responsibilities Assist in developing and implementing predictive models and machine learning algorithms to address business challenges and support strategic goals. Collaborate with Analytics team to analyze datasets and extract actionable insights. Evaluate model performance and iterate to enhance accuracy and reliability. Work with cross-functional teams to gather requirements and ensure alignment with business needs. Design and conduct experiments to test hypotheses and validate estimated benefits. Requirements Education: Bachelor´s degree in Data Science, Physics, Computer Science or similar. Experience: 1-2 years in Advanced Analytics roles. Technical capabilities: Proficiency in SQL. Proficient in Python programming. Data visualization platforms (PowerBi). Cloud platforms (Azure and Databricks) Excellent written and verbal English. At HEINEKEN México our commitment is to respect people, society and the environment, we are against any discriminatory practice of religion, sex, political tendency, socioeconomic level or ethnic origin.",https://mx.linkedin.com/jobs/view/data-scientist-at-heineken-m%C3%A9xico-4404921642,4404921642
User Interface Developer,Carrier,"Santa Catarina, Nuevo León, Mexico",ON-SITE,Executive,Full-time,Wholesale Building Materials,2026-04-23T12:49:37.097061,25,Engineering,Information Technology,N/A,"Build a career with confidence Carrier Global Corporation, global leader in intelligent climate and energy solutions is committed to creating solutions that matter for people and our planet for generations to come. From the beginning, we've led in inventing new technologies and entirely new industries. Today, we continue to lead because we have a world-class, diverse workforce that puts the customer at the center of everything we do. About The Role Carrier is seeking a full‑time User Interface Developer with strong expertise in React to join our software engineering organization. In this role, you will play a key part in shaping the user experience of enterprise‑scale web applications used across the business. You will contribute not only to feature delivery, but also to UI architecture, design consistency, and long‑term maintainability. You will work closely with product managers, UX designers, backend engineers, and QA partners as a core, long‑term member of the team. Key Responsibilities Design, develop, and maintain modern, responsive user interfaces using React. Translate UX designs and product requirements into intuitive, high‑quality user experiences. Collaborate with backend engineers to integrate APIs and data services. Contribute to UI architecture decisions, reusable components, and design systems. Ensure applications meet performance, scalability, accessibility, and quality standards. Participate in code reviews and promote front‑end best practices. Partner with QA to support testing, defect resolution, and release readiness. Continuously improve usability, consistency, and visual polish across applications. Required Qualifications Bachelor’s degree in Computer Science, Software Engineering, or a related field. 3+ years of professional front‑end or UI development experience. Proven experience developing production applications using React. Preferred Qualifications Strong knowledge of HTML5, CSS3, JavaScript, Typescript and modern web standards. Experience with state management solutions such as Redux or Context API. Familiarity with RESTful APIs and asynchronous data handling. Solid understanding of responsive design, cross‑browser compatibility, and modern layout techniques. Knowledge of accessibility standards (WCAG) and inclusive design practices. Experience working in Agile/Scrum development environments. Strong communication skills and the ability to collaborate across disciplines. Ability to balance feature delivery with long‑term code quality and maintainability. Benefits We are committed to offering competitive benefits programs for all of our employees, and enhancing our programs when necessary. Our commitment to you Our greatest assets are the expertise, creativity and passion of our employees. We strive to provide a great place to work that attracts, develops and retains the best talent, promotes employee engagement, fosters teamwork and ultimately drives innovation for the benefit of our customers. We strive to create an environment where you feel that you belong, with diversity and inclusion as the engine to growth and innovation. We develop and deploy best-in-class programs and practices, providing enriching career opportunities, listening to employee feedback and always challenging ourselves to do better. This is The Carrier Way . Join us and make a difference. Apply Now! Carrier is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class. Job Applicant's Privacy Notice Click on this link to read the Job Applicant's Privacy Notice",https://mx.linkedin.com/jobs/view/user-interface-developer-at-carrier-4402727484,4402727484
"MCIP Data Analytics, Tools, Process Engineer",Aptiv,"Monterrey, Nuevo León, Mexico",ON-SITE,N/A,Full-time,Software Development,2026-04-23T12:49:37.097064,60,Management,Manufacturing,N/A,"The MCIP Data Engineer will be responsible for developing, maintaining, and optimizing data tools and analytics solutions that support Aptiv’s Material Cost Improvement Program (MCIP) . This role focuses heavily on enabling reliable data capture, automation, visualization, and reporting across global stakeholders. Key Responsibilities: Develop, customize, and maintain Microsoft Lists to support MCIP data collection and tracking. Design and manage multiple cross-linked lists to enable efficient data extraction, automation, and reporting. Implement Lookup fields and validation rules to optimize and error-proof data entry. Customize list views to improve usability, data visualization, and end-user adoption. Automate recurring processes and data synchronization between Microsoft Lists, SharePoint, Excel, and Power BI. Monitor and troubleshoot automation flows to ensure reliability and performance. Use advanced E, xcel capabilities to analyze, validate, and prepare data: Pivot Tables, Pivot Charts, XLOOKUP, XMATCH, and advanced formulas, Conditional Formatting for data validation and insights Leverage Power Query to clean, transform, and integrate data from multiple sources. Develop, customize, maintain, optimize, and debug Power BI semantic models, reports, dashboards, and paginated reports. Design efficient data models, including relationships and measures, to support MCIP analytics. reate and maintain DAX measures to support KPIs, cost analysis, and savings tracking. Understand and modify live connections to Power BI datasets, enabling end-users to customize visuals based on their specific data needs. Your background: Bachelor's degree in Mechatronics, Electronics, or a related technical field. Experience working with electronics components, manufacturing, supply chain, or cost-related data is strongly preferred. Proven experience delivering reporting and automation solutions in a corporate environment. Strong proficiency in Microsoft Lists, Power Automate, Excel, and Power BI. Solid understanding of Power Query, DAX, and data relationships Experience integrating data from multiple systems and formats. Strong Python/SQL for scripting WHY JOIN US? You can grow at Aptiv. Aptiv provides an inclusive work environment where all individuals can grow and develop, regardless of gender, ethnicity or beliefs. You can have an impact. Safety is a core Aptiv value; we want a safer world for us and our children, one with: Zero fatalities, Zero injuries, Zero accidents. You have support. We ensure you have the resources and support you need to take care of your family and your physical and mental health with a competitive health insurance package. Your Benefits at Aptiv: Savings Fund Pension Plan Christmas Bonus Attendance Bonus Vacation Premium Medical Expenses Life Insurance Social security (IMSS, INFONAVIT, Retirement) Recognition for innovation and excellence Opportunities to give back to the community APPLY TODAY, AND TOGETHER LET’S CHANGE TOMORROW! Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.",https://mx.linkedin.com/jobs/view/mcip-data-analytics-tools-process-engineer-at-aptiv-4366269540,4366269540
