Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID
Sr React Ux Developer - Streaming,Go Sinergia,"Guadalajara, Mexico Metropolitan Area",HYBRID,Mid-Senior level,Full-time,Human Resources,2026-04-06T12:46:34.978805,25,Information Technology,N/A,N/A,"REACT UX DEVELOPER - GUADALAJARA - HYBRID Company Description The Company provides Android TV and Linux middleware platforms, with expert system integration services for broadcast and OTT operators. The company powers millions of Digital TV devices deployed by leading telecoms and digital media product manufacturers. Role Description This is a full-time hybrid role as a React UX Developer located in Guadalajara, JAL. The role involves day-to-day tasks associated with front-end development, back-end web development, software development, JavaScript, and Redux.js. Some work from home is acceptable. Qualifications Front-End Development and Back-End Web Development skills Experience in Software Development, Proficiency in JavaScript and Redux.js Experience in Streaming / Video Company Knowledge of UX principles and best practices Bachelor's degree in Computer Science or related field Salary = 4,000 - 4500 usd / Month CONTRACTOR Lazaro Cardenas y Mariano Otero",https://mx.linkedin.com/jobs/view/sr-react-ux-developer-streaming-at-go-sinergia-4397730486,4397730486
"Role:: Data Engineer. Location:: Guadalajara, Jalisco, Mexico. Full Time Permanent.",AceStack,"Guadalajara, Jalisco, Mexico",ON-SITE,Mid-Senior level,Full-time,Software Development,N/A,25,Information Technology,N/A,N/A,"Role:: Data Engineer. Location:: Guadalajara, Jalisco, Mexico. Full Time Permanent.",https://mx.linkedin.com/jobs/view/role-data-engineer-location-guadalajara-jalisco-mexico-full-time-permanent-at-acestack-4394471835,4394471835
Field Representative,Aceolution,"Guadalajara, Mexico Metropolitan Area",ON-SITE,Entry level,Contract,IT Services and IT Consulting and Strategic Management Services,2026-04-06T12:46:36.456058,25,Information Technology,N/A,N/A,"Título del Puesto: Field Data Representative Tipo de Empleo: Regular, tiempo completo. De lunes a viernes Período del Contrato: 10 días de trabajo + 1 día de capacitación Ubicación: México (Guadalajara) Descripción del Puesto: Aceolution está contratando urgentemente Field Data Representatives en México (Guadalajara) para verificar puntos de interés (POI) según instrucciones específicas de la encuesta. Esto implicará caminar en las ubicaciones asignadas. Sin embargo, los trabajadores son libres de usar bicicleta/scooter/u otro medio de transporte si lo desean. Naturaleza del Trabajo: Verificación peatonal de POIs (Point of Interest), que pueden incluir hoteles, gasolineras, restaurantes y similares. Proporcionaremos: La lista de instalaciones a verificar + la capa de puntos con ubicaciones Instrucciones de la encuesta Aplicación móvil (Android/iOS) que funciona en Android 10 e iOS El encuestador deberá caminar hasta el POI y verificar/recopilar cierta información que puede involucrar entre 5 y 10 parámetros sobre el mismo y tomar una foto de la entrada. Recomendamos la recopilación a pie; sin embargo, los trabajadores son libres de usar bicicleta/scooter/u otro medio de transporte si él/ella lo desea. Requisitos: Debe vivir en México (Guadalajara) Dominio del inglés (lectura y conversación) Capacidad para caminar o usar otros medios de transporte para la verificación de POIs Job Title: Field Data Representative Employment Type: Regular, full-time. Monday to Friday Contract period: 10 Days work+ 1day training Location: Mexico (Guadalajara) Job Description: Aceolution is urgently hiring Field Data Representatives in Mexico (Guadalajara) to verify points of interest (POI) based on specific survey instructions. This will involve walking in assigned locations. However, workers are free to use bike/scooter/other transport if he wants. Nature of work: Pedestrian verification of POIs (Point of Interest) which can be amongst hotels, gas stations, restaurants and the likes. We’ll provide: - The list of facilities to verify + the point layer with locations - Survey instructions - Mobile app (Android/iOS) that works on Android 10 and iOS The surveyor will need to walk to the POI and check/collect some information that may involve 5-10 parameters about it and take a picture of the entrance. We recommend on-feet collection; however, workers are free to use bike/scooter/other transport if he/she wants. Requirements: Must live in Mexico(Guadalajara) English proficiency (read and speak) Ability to walk or use other means of transport for POI verification",https://mx.linkedin.com/jobs/view/field-representative-at-aceolution-4394434929,4394434929
