Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID
Software Engineer - L3 Support,Canonical,"Monterrey, Nuevo León, Mexico",REMOTE,N/A,Full-time,Software Development,2026-03-29T12:45:19.213730,25,Engineering,Information Technology,N/A,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office-based roles. Teams meet two to four times yearly in person, in interesting locations around the world, to align on strategy and execution. The company is founder-led, profitable, and growing. We are hiring a Software Engineer - L3 Support to… …work in a dynamic and exciting engineering role in Linux-based infrastructure and applications, covering all layers of the stack, including bare metal, virtualization (KVM), containerization (Docker/LXC/LXD), storage (Ceph and Linux filesystems), networking (OVS, OVN and Core networking), OpenStack, Kubernetes and the open source applications running on top of them. It will challenge you to show the breadth of your engineering skills, which will be needed to work on almost any aspect of Ubuntu and the open source applications large enterprise customers run. This role is an opportunity for a technologist with a passion for Linux and open source to build a career with Canonical and drive success for our customers, community and the company. If you have an affinity for open source software, great communication skills, and a passion for troubleshooting and fixing issues in technology used by millions across the world, then you will enjoy working with some of the best people in the industry at Canonical. This role deals with critical issues in the open source stack that require upstream bug fixes. Our engineers are able to work productively at any level of the stack including the kernel and in a wide range of languages, to understand and address the software issues at hand. Our group is critical to the success of our customers, partners and Ubuntu itself. You will help with troubleshooting and driving issues to resolution with workarounds, guidance, and bug fixes to be released upstream and in Ubuntu. Location: This is a remote role, we have teams in all time zones. The role entails Resolve complex customer problems related to Ubuntu, Kernel, Ceph, OpenStack, or Kubernetes and other open source software Maintain a close working relationship with Canonical's Field, Support and product engineering teams Participate in upstream communities Develop bug fixes, backport patches, and work with upstream for inclusion Review code produced by other engineers Demonstrate good judgment in technical methods and techniques Prioritize work and manage your time effectively against those priorities Participate in team discussions to improve processes, tools, and documentation Maintain clear, technical and concise communications Work from home and travel internationally up to 10% of work time for team meetings, events and conferences What we are looking for in you An exceptional academic track record Background in Computer Science, STEM or similar Experience with Linux and open source software Experience with at least one of Python, Go, C or C++ on Linux A drive to learn unfamiliar technology and deep-dive difficult issues Willingness to travel up to 4 times a year for internal events Nice-to-have skills You love technology and working with brilliant people You are curious, flexible, articulate, and accountable You value soft skills and are passionate, enterprising, thoughtful, and self-motivated You have interest in, or willingness to learn about any of the following: Ubuntu Linux - kernel or userspace, Kubernetes, OpenStack, Ceph, QEMU/KVM, LXC/LXD,Postgresql, Mongo, Debian packaging, distributed systems What we offer colleagues We consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognize outstanding performance. In addition to base pay, we offer a performance-driven annual bonus. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally. Distributed work environment with twice-yearly team sprints in person Personal learning and development budget of USD 2,000 per year Annual compensation review Recognition rewards Annual holiday leave Maternity and paternity leave Employee Assistance Programme & Wellness Platform Opportunity to travel to new locations to meet colleagues Priority Pass and travel upgrades for long-haul company events About Canonical Canonical is a pioneering tech firm at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open-source projects and the platform for AI, IoT, and the cloud, we are changing the world of software. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence; in order to succeed, we need to be the best at what we do. Most colleagues at Canonical have worked from home since our inception in 2004. Working here is a step into the future and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical is an equal opportunity employer We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.",https://mx.linkedin.com/jobs/view/software-engineer-l3-support-at-canonical-4392337240,4392337240
ECM Developer,NTT DATA North America,"Monterrey, Nuevo León, Mexico",ON-SITE,N/A,Full-time,IT Services and IT Consulting,2026-03-29T12:45:21.302185,25,Engineering,Information Technology,N/A,"Req ID: 346193 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a ECM Developer to join our team in Monterrey, Nuevo León (MX-NLE), Mexico (MX). Overview The ECM Developer is a highly skilled software engineer supporting an ECM platform built on IBM FileNet P8 and Business Automation Workflow (BAW 24.x). A migration to IBM Cloud Pak for Business Automation (CP4BA) on Red Hat OpenShift 4.x on AWS (ROSA) is planned. This role involves designing and implementing cloud-native ECM solutions and collaborating with ECM Analysts and Architects to deliver secure, scalable, and high-performing applications. Responsibilities Design, develop, and maintain complex Java applications, including mission-critical service layers for the ECM platform. Translate business requirements into innovative, secure, and scalable technical solutions. Ensure solutions are vulnerability-free, follow modern IT standards, and leverage emerging technologies. Maintain a production-first mindset focused on uptime, scalability, and rapid issue resolution. Collaborate with internal business units and stakeholders to ensure successful project delivery. Provide technical demos and presentations to team members and business partners. Foster a collaborative and productive team environment. Qualifications Knowledge Expert-level experience with IBM FileNet P8 APIs (Content Engine, Process Engine). Deep expertise in ICN 3.x+ and ICM 5.x customization using the Dojo framework. Strong understanding of RESTful API development, integration patterns, and OpenAPI Specification (OAS 3.x). Proven experience designing and deploying BAW 24.x solutions. Strong experience with CI/CD pipelines, Git repositories, and automated build/deploy tools (e.g., Jenkins, Azure DevOps). Familiarity with static code analysis tools such as Checkmarx, SonarQube, or equivalent for secure coding practices. Experience with Kubernetes-based platforms (OpenShift 4.x), RHEL, and ROSA. Cloud proficiency (IBM Cloud, AWS, Azure); certifications preferred. Understanding API Gateway technologies such as Azure API Management (APIM) and identity management platforms like Okta IAM. Bonus knowledge: Gen AI (WatsonX.ai), IBM Datacap, Kofax Capture. Skills ICN Customization: Plugin development including External Data Services (EDS), Feature and Action Plugins, Context Menu Customization, and custom scheduled task development using the ICN Task Manager framework and APIs. Java/J2EE: Spring Boot, JPA, Hibernate, Microservices. Web Technologies: Dojo, NodeJS, AngularJS, ReactJS, HTML, JavaScript, AJAX, jQuery. ECM Suite: FileNet P8, ICN 3.x+, ICM 5.x, BAW 24.x, IER, ICC, FDM, Sweep Framework. ECM Migration: SharePoint, Domino, FileNet P8 to CP4BA. Security & Governance: Role-based access, retention policies, security proxies, change preprocessors. App Servers: IBM WebSphere (ND, Liberty, Open Liberty), WebLogic, Tomcat. Reporting & Monitoring: Sweep jobs, stored procedures, Control-M, Splunk. DevOps Tools: AzDO, GitHub, Jenkins, Docker, Kubernetes, Ansible, Terraform. Databases: Oracle, PostgreSQL. Bonus Skills: Python, AWS services (EC2, S3, Lambda, IAM, VPC, ECS, CloudWatch, API Gateway). EDUCATION Bachelor's degree in computer science or related field, or equivalent work experience. Experience Minimum 5 years as an ECM Developer. 5+ years developing enterprise-grade ECM solutions using IBM FileNet and Java/J2EE. Proven experience customizing, configuring, and maintaining IBM FileNet-based platforms. WORKING CONDITIONS This remote contractor role follows a fixed schedule aligned to U.S. business hours. Candidates must be available during assigned times for collaboration, delivery, and support. Extended hours may occasionally be required based on project needs. About NTT DATA NTT DATA is a $30 billion trusted global innovator of business and technology services. We serve 75% of the Fortune Global 100 and are committed to helping clients innovate, optimize and transform for long term success. As a Global Top Employer, we have diverse experts in more than 50 countries and a robust partner ecosystem of established and start-up companies. Our services include business and technology consulting, data and artificial intelligence, industry solutions, as well as the development, implementation and management of applications, infrastructure and connectivity. We are one of the leading providers of digital and AI infrastructure in the world. NTT DATA is a part of NTT Group, which invests over $3.6 billion each year in R&D to help organizations and society move confidently and sustainably into the digital future. Visit us at us.nttdata.com Whenever possible, we hire locally to NTT DATA offices or client sites. This ensures we can provide timely and effective support tailored to each client’s needs. While many positions offer remote or hybrid work options, these arrangements are subject to change based on client requirements. For employees near an NTT DATA office or client site, in-office attendance may be required for meetings or events, depending on business needs. At NTT DATA, we are committed to staying flexible and meeting the evolving needs of both our clients and employees. NTT DATA recruiters will never ask for payment or banking information and will only use @nttdata.com and @talent.nttdataservices.com email addresses. If you are requested to provide payment or disclose banking information, please submit a contact us form, https://us.nttdata.com/en/contact-us. NTT DATA endeavors to make https://us.nttdata.com accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact us at https://us.nttdata.com/en/contact-us. This contact information is for accommodation requests only and cannot be used to inquire about the status of applications. NTT DATA is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. For our EEO Policy Statement, please click here. If you'd like more information on your EEO rights under the law, please click here. For Pay Transparency information, please click here.",https://mx.linkedin.com/jobs/view/ecm-developer-at-ntt-data-north-america-4338323041,4338323041
Enterprise Data Custodian,Johnson Controls,"San Pedro Garza García, Nuevo León, Mexico",ON-SITE,N/A,Full-time,Industrial Machinery Manufacturing,2026-03-29T12:45:21.302190,41,Management,Manufacturing,N/A,"Position Summary The Data Quality Analyst is responsible for ensuring the accuracy, consistency, and reliability of enterprise data across systems and analytical platforms. This role focuses on executing data quality assessments, identifying issues, performing root‑cause analysis, and collaborating with cross‑functional teams to maintain high-quality data standards. The ideal candidate will have strong technical skills in SQL, Python, and data warehousing concepts, with Snowflake experience considered a strong advantage. Key Responsibilities Perform data quality audits, profiling, validation, and cleansing activities across multiple datasets and systems. Identify data anomalies, inconsistencies, and gaps; investigate issues and drive timely resolution. Partner with data engineering, analytics, and business teams to define and enforce data quality rules, metrics, and governance standards. Analyze large datasets using SQL and Python to diagnose issues and propose remediation steps. Develop and maintain data quality reports, dashboards, and monitoring processes. Support data warehouse-related initiatives, ensuring accurate ingestion, transformation, and storage of data. Contribute to continuous improvement of data quality processes, documentation, and best practices. Communicate insights, findings, and recommendations effectively to technical and non‑technical stakeholders. Required Skills & Qualifications Bachelor’s degree in Computer Science, Information Systems, Data Analytics, or related field. Strong hands-on experience with SQL (complex queries, joins, analytics functions). Proficiency in Python for data processing and analysis. Solid understanding of data quality concepts, data governance, metadata, and data lifecycle management. Strong knowledge of data warehouse concepts (dimensions, facts, ETL/ELT, schemas). Excellent analytical thinking, problem‑solving, and troubleshooting skills. Strong communication skills with the ability to present findings clearly. Demonstrated ability to work collaboratively as a team player in cross‑functional environments. Preferred / Nice-to-Have Skills Experience with Snowflake (warehouse architecture, SQL, features such as stages, tasks, streams, tagging). Familiarity with data quality tools (Informatica IDQ/CDQ, Talend, Great Expectations, etc.). Experience in building automated data validation frameworks. Experience in building Power BI dashboards Personal Attributes Detail‑oriented with a passion for clean, reliable data. Self‑motivated and proactive in identifying and proposing improvements. Ability to manage multiple priorities and deadlines.",https://mx.linkedin.com/jobs/view/enterprise-data-custodian-at-johnson-controls-4364496634,4364496634
