Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID
Containerization & Virtualisation Engineer,Canonical,"Zapopan, Jalisco, Mexico",REMOTE,N/A,Full-time,Software Development,2026-03-22T21:01:06.230539,25,Other,N/A,N/A,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1000+ colleagues in 70+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting locations around the world, to align on strategy and execution. The company is founder led, profitable and growing. This is a general selection process for software engineers focused on virtualisation and container technology - from the kernel through userspace. Apply here if you are an exceptional Go, Rust, or C/C++ software engineer and want to work on next-generation open source VMM or container technology, or related open source networking and storage. Container, virtualisation and cloud infrastructure have become essentials of modern software deployments. We invest in open source related to application isolation, workload orchestration, system or OCI containers, micro service architecture or cloud infrastructure. Here are some examples of projects under way at Canonical. RustVMM has great potential as a new hypervisor for Linux. We are building a team to work on this, with an emphasis on performance, security and operability. Work in Rust and bring your expert knowledge of VMM and related kernel networking and storage capabilities. Docker images are easy to make and publish on Docker Hub and other registries, but the quality, consistency and security maintenance of those images is broadly very poor. Canonical is in a good position to publish a portfolio of outstanding Docker images. Our Rockcraft team is designing and implementing an elevated Docker image experience for the open source community. LXD is a modern system container and virtual machine manager that is widely used on Ubuntu, ChromeOS and other Linux platforms. LXD engineering spans the entire software stack from low-level kernel work on namespaces, confinement, security, filesystems, VMMs and networking, to the high level management REST API and CLI. Members of the Kubernetes product team build MicroK8s for on-rails K8s, and Charmed Kubernetes for more sophisticated integration. We work on K8s itself and on the operations tooling around it. The OpenStack team deliver Charmed OpenStack, OVN / OVS and Ceph. This work brings cloud platform technologies to large-scale computing environments. These teams hire system level C/C++, Golang, Rust and Python developers to work on security-critical, performance-critical and mission-critical code, focused on software delivery, containers, security, sandboxing, application orchestration and management. Our teams are motivated to have a meaningful impact on modern cloud computing technologies. Location : we have remote container and virt engineering roles in every time zone. What you will focus on Design and specify new features, building consensus on approach Engage with upstream communities in your area of expertise Conduct security analysis and reviews to ensure defence in depth Create and monitor performance benchmarks to optimise your product Collaborate proactively with a distributed team Write high quality code to create new features Debug issues and produce high quality code to fix them Review code produced by other engineers Discuss ideas and collaborate on finding good solutions What we are looking for in you An exceptional academic track record from both high school and university Undergraduate degree in Computer Science or STEM, or a compelling narrative about your alternative path Drive and a track record of going above-and-beyond expectations You have worked on open source virt or container tech You have experience working in the kernel or very low level system Professional written and spoken English Experience with Linux (Debian or Ubuntu preferred) Excellent interpersonal skills, curiosity, flexibility, and accountability Passion, thoughtfulness, and self-motivation Excellent communication and presentation skills Result-oriented, with a personal drive to meet commitments Ability to travel twice a year, for company events up to two weeks each Additional Skills We Value Performance engineering and security experience What we offer you We consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance-driven annual bonus. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally. Distributed work environment with twice-yearly team sprints in person Personal learning and development budget of USD 2,000 per year Annual compensation review Recognition rewards Annual holiday leave Maternity and paternity leave Employee Assistance Programme Opportunity to travel to new locations to meet colleagues Priority Pass, and travel upgrades for long haul company events About Canonical Canonical is a pioneering tech firm at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do. Canonical has been a remote-first company since its inception in 2004. Working here is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical is an equal opportunity employer We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.",https://mx.linkedin.com/jobs/view/containerization-virtualisation-engineer-at-canonical-4388773178,4388773178
Senior Data Scientist (Hybrid Guadalajara),Insulet Corporation,"Guadalajara, Jalisco, Mexico",HYBRID,N/A,Full-time,Medical Equipment Manufacturing,2026-03-22T21:01:07.850645,65,Engineering,Information Technology,N/A,"Insulet started in 2000 with an idea and a mission to enable our customers to enjoy simplicity, freedom and healthier lives through the use of our Omnipod® product platform. In the last two decades we have improved the lives of hundreds of thousands of patients by using innovative technology that is wearable, waterproof, and lifestyle accommodating. We are looking for highly motivated, performance driven individuals to be a part of our expanding team. We do this by hiring amazing people guided by shared values who exceed customer expectations. Our continued success depends on it! Position Overview Insulet Corporation, maker of the OmniPod, is the leader in tubeless insulin pump. The Senior Data Scientist role is responsible for research and development of Insulet’s brand new and strategic insulin therapy optimization solution for patients and healthcare providers. You will be developing analytics to gain insights of device settings, usage patterns, failure modes, and clinical outcomes. Using machine learning and pattern recognition techniques, you will develop algorithms to recommend optimal pump parameters to achieve the best clinical outcome. As one of the first team members, you have the opportunity to shape the technical framework and grow your role within the company tremendously. Responsibilities Work with IT and cross functional teams to identify data sources, design data ingestion and data storage platforms. Develop data clean up and preprocessing scripts as needed. Explore data patterns using existing data science tools and self-created programs. Develop and implement algorithms for insulin pump therapy optimization. Present findings to leadership and non-specialists in relation to business objectives. Mentor junior engineers. Performs other duties as required. Education And Experience Master's or Ph.D. degree in Computer Science, Electrical and Computer Engineering, or a closely related field preferred. At least 5 years of work and research experience on machine learning, artificial intelligence, or statistical inferences. Experiences in medical device or healthcare industries is desirable. Preferred Skills And Competencies Demonstrated proficiency in one or more analytic software tools, such as Python, R, Matlab, etc. Demonstrated proficiency in SQL and one or more relational databases, such as Oracle, Teradata, Microsoft SQL Server, etc. Experience in C/C++, C#, Java programming is a plus. Experience in Business Intelligence tools, such as Tableau, Spotfire, Cognos, is a plus. Demonstrated knowledge of software engineering principles and practices. Ability to work independently without detailed guidance yet maintaining effective communications with leaders and stakeholders. NOTE : This position is eligible for hybrid working arrangements and requires on-site work from an Insulet office at least three (3) days per week.",https://mx.linkedin.com/jobs/view/senior-data-scientist-hybrid-guadalajara-at-insulet-corporation-4289057264,4289057264
Sr React UX Developer,Go Sinergia,"Guadalajara, Mexico Metropolitan Area",HYBRID,Mid-Senior level,Full-time,Human Resources Services,2026-03-22T21:01:07.850650,25,Information Technology,N/A,N/A,"REACT UX DEVELOPER - HYBRID - GUADALAJARA Company Description The Company provides Android TV and Linux middleware platforms, with expert system integration services for broadcast and OTT operators. The company powers millions of Digital TV devices deployed by leading telecoms and digital media product manufacturers. Role Description This is a full-time hybrid role as a React UX Developer located in Guadalajara, JAL.The role involves day-to-day tasks associated with front-end development, back-end web development, software development, JavaScript, and Redux.js. Some work from home is acceptable. Qualifications Front-End Development and Back-End Web Development skills Experience in Software Development, Proficiency in JavaScript and Redux.js Knowledge of UX principles and best practices Bachelor's degree in Computer Science or related field Salary = 4,000 - 4,500 usd / Month CONTRACTOR Lazaro Cardenas y Mariano Otero",https://mx.linkedin.com/jobs/view/sr-react-ux-developer-at-go-sinergia-4388660223,4388660223
Business Partner Data Integration Project Analyst,NXP Semiconductors,"Guadalajara, Jalisco, Mexico",HYBRID,Mid-Senior level,Full-time,"Semiconductor Manufacturing, Computers and Electronics Manufacturing, and Software Development",2026-03-22T21:01:07.850652,47,Business Development,Sales,N/A,"The B2B Project Analyst plays a critical role in driving successful integration and operational excellence across our business‑to‑business (B2B) ecosystem. This role enables end‑to‑end project management for data exchange initiatives, ensuring seamless collaboration between internal teams (Sales Operations, IT/Application teams, Customer Operations, Finance, Logistics) and external partners such as distributors, channel partners, and customers. The B2B Project Analyst will support projects involving RosettaNet, EDI, and other file‑based data exchange methods (FTP, SFTP, email‑based automation, and custom file formats). Project Leadership & Execution Work with the B2B project manager with integration and data‑exchange projects from discovery through deployment, ensuring on‑time, high‑quality delivery. Gather, document, and validate business requirements through collaboration with internal stakeholders and external partners. Help develop project plans, timelines, communication strategies, and risk mitigation actions. Coordinate and track work across cross‑functional project teams, ensuring accountability and timely execution. Internal Coordination Serve as a liaison between Sales Operations and internal technical/application teams responsible for B2B system capabilities. Partner closely with IT, SCO B2B, CRM, ModelN and integration teams to ensure proper configuration, mapping, testing, and production readiness. Work with Sales Ops to ensure B2B capabilities support business processes related to design registrations, ship & debit, POS, etc. External Partner & Distributor Engagement Act as a point of contact for distributors, OEMs, and other external trading partners during onboarding, integration testing, and go‑live. Guide partners through technical specifications (EDI, RosettaNet PIPs, flat files, XML, CSV, etc.), business rules, and CRM/ModelN data models. Coordinate partner testing cycles, validate data accuracy, and troubleshoot issues involving data quality, connectivity, or mapping. Facilitate communication between external partners and internal technical teams to ensure alignment and swift issue resolution. B2B Integration Help oversee implementation and maintenance of B2B processes including: EDI transactions RosettaNet processes File‑based integrations such as FTP/SFTP, secure email automation, API or web service–based data exchange. Explore additional data and business process integration methods between disti systems and NXP. Ensure compliance with B2B standards, customer expectations, and industry best practices. Work with integration teams to maintain accurate data mapping, transformation logic, and documentation. Operational Support & Continuous Improvement Monitor B2B transaction flows, proactively identifying errors or inefficiencies and driving corrective actions. Analyze integration performance, partner behavior, and process trends to propose improvements. Support Sales Operations by delivering visibility into B2B transaction health, partner readiness, and integration timelines. Maintain comprehensive documentation including process flows, partner requirements, mapping specifications, and SOPs. Qualifications Required 3–7 years of experience in Sales Operations, IT integration, or related fields. Understanding or interest in EDI standards, RosettaNet, and common file transfer protocols (FTP/SFTP). Acumen in coordinating with cross‑functional internal teams and external partners. Ability to manage technical projects with detailed data mapping and testing components. Excellent communication, stakeholder management, and problem‑solving skills. Ability to manage multiple projects in a fast‑paced environment. Ability to work flexible work hours. Advanced English Preferred Experience with ModelN, Salesforce, and/or SAP OM. Familiarity with integration tools such as Tibco. Knowledge of distribution business processes within Sales Operations. PMP, Agile, or relevant project management certification. More information about NXP in Mexico...",https://mx.linkedin.com/jobs/view/business-partner-data-integration-project-analyst-at-nxp-semiconductors-4370100161,4370100161
Catalog Data Technician,O'Reilly Autopartes México,"Guadalajara, Mexico Metropolitan Area",ON-SITE,Entry level,Full-time,Motor Vehicle Manufacturing,2026-03-22T21:01:09.371770,25,Analyst,"Marketing,",Administrative,"Catalog Data Technician Funciones del puesto Mantener la precisión de las bases de datos del Catálogo Electrónico de Productos (EPC, mediante el análisis de contenido nuevo para determinar su precisión e integridad utilizando herramientas de control de calidad. Analizar, interpretar y estandarizar los datos de aplicaciones de vehículos automotrices del mercado de accesorios y la información del producto en cumplimiento con las necesidades de la empresa. Realizar procedimientos avanzados de entrada de datos utilizando herramientas internas, tales como: consultas y macros, así como la gestión de bases de datos Excel y Access para procesar y consumir gran cantidad de datos. Asegurar que el proceso cumpla con la calidad, integridad y consistencia de acuerdo con los objetivos y requisitos de la empresa. Crear y mantener actualizada la documentación correspondiente para la mejora de procesos. Analizar las discrepancias de aplicación reportadas por todos los usuarios del sistema eCatalog y toma medidas implementando modificaciones al contenido existente o agregando contenido nuevo para abordar las discrepancias reportadas. Desarrollar y mejorar el contenido de valor agregado en apoyo de producto dentro de la base de datos de eCatalog, tale como: activos digitals, copia de marketing, información de características y beneficios, especificaciones a nivel de producto, referencias cruzadas de productos, contenido de venta de cruzada y contenido de alias de búsqueda de palabras clave. Requerimientos del puesto Escolaridad minima: Bachillerato terminado / Ingenieria o Licenciatura concluida. Experiencia: 1 año manejando base de datos / servicio al cliente / catálogo electrónico Ingles avanzado Trabajo en equipo. Analítico y rápido aprendizaje. Gestión y procesamiento de datos de gran volumen. Retención y resolución de problemas. Excelentes habilidades de comunicación escrita y hablada. Gran atención al detalle y excelentes habilidades organizativas. Comprensión clara del contenido que se requiere para satisfacer las necesidades actuales de los de los consumidores. Habilidades: Debe trabajar bien en un ambiente de equipo. Analítico y rápido aprendizaje. Gestión y procesamiento de datos de gran volumen. Retención y resolución de problemas. Excelentes habilidades de comunicación escrita y hablada. Gran atención al detalle y excelentes habilidades organizativas. Comprensión clara del contenido que se requiere para satisfacer las necesidades actuales de los consumidores.",https://mx.linkedin.com/jobs/view/catalog-data-technician-at-o-reilly-autopartes-m%C3%A9xico-4388658413,4388658413
Sr Cloud Test Engineer,Insulet Corporation,"Guadalajara, Jalisco, Mexico",ON-SITE,N/A,Full-time,Medical Equipment Manufacturing,2026-03-22T21:01:09.371777,25,Engineering,Information Technology,N/A,"Insulet started in 2000 with an idea and a mission to enable our customers to enjoy simplicity, freedom and healthier lives through the use of our Omnipod® product platform. In the last two decades we have improved the lives of hundreds of thousands of patients by using innovative technology that is wearable, waterproof, and lifestyle accommodating. We are looking for highly motivated, performance driven individuals to be a part of our expanding team. We do this by hiring amazing people guided by shared values who exceed customer expectations. Our continued success depends on it! The Sr. Cloud Test Engineer will be responsible for back-end testing, specifically working with APIs, cloud services (AWS) and systems/application/product integration. The candidate must have strong automation skills and will be building new automation framework utilities for testing APIs, and cloud-based services. The ideal person can develop automated tests in conjunction with development efforts. Responsibilities Build new test automation framework utilities, develop and execute test suites for cloud-based web service applications. Evaluate current system and product architecture within AWS cloud services and work to create automated test scripts. Perform back-end testing, focusing on APIs and JSON files, to ensure smooth and seamless data flow platforms and applications. Provide technical leadership and strategic guidance in the areas of quality and testing understanding the flow of code and how it interacts with different components. Collaborate with Development, QA, and IT teams while participating in product design reviews. Work with various teams in resolving issues for systems, coordinating on product design, and offering inputs on the testability of functional elements. Requirements/Experience BS in Software Engineering, Computer Science, or similar field preferred Excellent verbal and written communications in English and Spanish. 5+ years of experience in automated API testing and integration testing (Postman, or equivalent tool). 5+ years’ experience working with cloud services (AWS). Strong development skills required in Java, C#, and/or Python for automated test scripts. Experience with SQL/No SQL databases is required Strong understanding of HTTP protocols, REST, SOAP Proficiency with source control, continuous integration, and testing methods (e.g., Git, Perforce). In-depth knowledge of software testing methodology, test development, and test execution. Preferred Previous experience working with Karate framework is a plus Hands-on experience testing Cloud components. Previous experience with Continuous Build Systems such as Jenkins or Bamboo is a plus Prior successes working within Agile methodology is highly desire",https://mx.linkedin.com/jobs/view/sr-cloud-test-engineer-at-insulet-corporation-4322671227,4322671227
